trimestre,div_01,div_02,div_03,div_04,div_05,div_06,div_07,div_08,div_09,div_10,div_11,div_12
2023Q2,2073.6207895518805,2408.3727245314844,1771.5048408102218,677.1627451518887,1571.1476501096313,2269.2608049741684,2933.3585365761105,520.3676098195924,1533.9518995137041,1740.9151011452157,1976.653528584868,1543.0483827486114
2023Q3,2779.7623358029227,3265.6915514108746,2328.7798033379645,814.2880550738432,2060.7460395528165,3061.2543233967863,4074.911380561571,608.5010027570237,1994.8711420933917,2294.1102733303997,2636.0738138869756,2014.6461217297388
2023Q4,3693.9055166308212,4420.346554494033,3058.113215428444,980.5801816090672,2675.9299784001323,4172.50038931114,5635.717703752855,719.8821494304592,2608.798819600433,3038.983220806245,3526.540216832824,2624.838988314026
2024Q1,4505.824679956856,5412.1338438011935,3706.118240797106,1197.2624091203602,3210.83803880148,5150.707575288579,7072.658626372194,800.8375374824996,3133.723551917451,3671.7502318851393,4310.78845435495,3154.818578169112
2024Q2,5479.944439498151,6700.689822400392,4477.376707861249,1466.0329681013309,3846.9950127624634,6340.358591154934,8847.927330660359,888.0463324717693,3756.9202986687624,4408.024723464258,5237.205008133436,3800.204608192252
2024Q3,6681.268288666658,8275.594379532484,5431.999420066706,1790.0082962955573,4594.293189053206,7798.429860163991,11090.473195198201,987.6424221634126,4528.514913493824,5335.643505660377,6412.691169122232,4525.872835403582
2024Q4,8060.997323101043,10189.138968482464,6518.999867795835,2173.0850347946343,5509.129050240892,9596.493467953414,13900.78039712357,1107.9601098310375,5447.352209130006,6455.229873201645,7794.385357951215,5445.270758967944
2025Q1,8582.079008282775,10961.827632046514,6998.546123863884,2362.681838281129,5855.079938685592,10291.504773396384,15085.819836653216,1142.7488773080402,5782.229080821756,6912.89765271137,8316.383690574465,5804.692395024075
2025Q2,9182.82980677447,11740.210506716627,7579.366101928411,2563.393845897945,6246.577143295636,11079.05175401184,16279.537539507995,1181.7937769779544,6185.256770056447,7360.847790709364,8890.928168856397,6175.322327645409
2025Q3,9900.351445887476,12655.918988857487,8108.988482418957,2742.749384195548,6674.564061085477,11947.576484594798,17682.497972672612,1223.3526925699161,6639.099695826269,7939.374899231087,9529.026081112168,6510.547360190477
